objectid,filename,format,parentid,registration_number,title,subject,object_sanskrit_definition,material,measurement,colour,cultural_influence,manufacture_place,locations,price,placement,usage_context,position,face_expression,body_part_position,false_gesture,description
dmc56,dmc56.jpeg,image/jpeg,dmc52,DMC 56,Buddha Figure,"Basic, Cheap",mistaken mudra,"Polyresin, Artificial Stone",Height Approximately 8 cm,Dark Brown,Indian,China,Detmold – Handelshof Wholesale Market,"3,99€",On the display of decorative items,an item available in the store for indoor use,Seated,Serene,"Seated with legs crossed, and hands folded mistaken mudra",,Buddha is seated with his legs cross-legged. Their hair is tightly curled and they have an urna or third eye on their forehead. He wears a robe that covers his body but leaves his right shoulder exposed. The robe is quite simple. They have long earlobes. Their eyes are closed and there is a slight smile on their lips. He performs an erroneous mudra with his hands. This mudra is similar to the bhumisparsa mudra.
dmc57,dmc57.jpeg,image/jpeg,,DMC 57,Carpe diem Buddha,"Aphorism, Calming",dhyana mudra,"Polyresin, Artificial Stone",Height Approximately 12 cm,Dark Brown,Indian,China,Detmold – Handelshof Wholesale Market,"7,29€",On the display of decorative items,an item available in the store for indoor use,Seated,Serene,"Seated with legs crossed in the padmasana position, his hands are folded on his lap in the dhyanamudra",,Buddha is sitting cross-legged on a stone. His hair is tightly curled and he has an urna or third eye on his forehead. He wears a robe that covers his body but leaves his right shoulder exposed. The robe is quite simple. He has long earlobes. His eyes are closed and there is a slight smile on his lips. He is performing an erroneous dhayana mudra with his hands. The stone on which the Buddha sits has the inscription live in the moment.
dmc58,dmc58.jpeg,image/jpeg,,DMC 58,,,,,,,,,,,,,,,,,
dmc59,dmc59.jpeg,multiple,,DMC 59,,,,,,,,,,,,,,,,,
dmc60,dmc60.jpeg,image/jpeg,dmc60,DMC 60,Chinese Buddha,"Svastika, Lotus, ",abhaya mudra,Porcelain,Height Approximately 12 cm,Antique Gold,Chinese,China,Bochum – Asia Supermarkt,"35,59€",The Primary Display of Store,an item available in the store for indoor use,Seated,Serene,"Seated with legs crossed in the padmasana position, raised his right hand at chest level with palm facing forward, in his left hand he is holding a lotus flower",,Buddha seated on a lotus throne on a pedestal of seashell figures. His hair is tightly curled and he has an urna or third eye on his forehead. On the back of the throne are figures of the dharma chakra and fire. His right hand is raised in abhaya-mudra. There are necklaces and a svastika around his neck. The robe covers both shoulders and covers his whole body. 
dmc61,dmc61.jpeg,image/jpeg,dmc62,DMC 61,Quan Yin,"Female, Bhiksuni",unknown mudra,Porcelain,Height Approximately 12 cm,Clay,Chinese,China,Bochum – Asia Supermarkt,Unknown,The Primary Display of Store,an item available in the store for indoor use,Seated,Serene,"Seated in a relaxed, leisurely pose, with one knee raised and the other crossed in front",,"Avalokiteshvara in a relaxed, leisurely pose, with one knee raised and the other crossed in front. Avalokiteshvara is adorned within an ornate crown and necklace. Small Buddha figures can be seen on her crown. Her whole body is covered with a robe. She has a necklace around his neck and a rosary in his hand. Her eyes are closed and he has a peaceful facial expression."
dmc62,dmc62.jpeg,multiple,,DMC 62,,,,,,,,,,,,,,,,,
dmc63,dmc63.jpeg,image/jpeg,,DMC 63,,,,,,,,,,,,,,,,,
dmc64,dmc64.jpeg,image/jpeg,,DMC 64,,,,,,,,,,,,,,,,,
dmc65,dmc65.jpeg,image/jpeg,,DMC 65,,,,,,,,,,,,,,,,,
